wavelength_nm,n,k,cost,R30,R45,R60
440.2411804,0.46949142248421666,0.13999925829094118,0.061365412206014394,0.31988892507738326,0.3302516290867809,1.1489049236713675
440.3550415,0.4695928962752912,0.1398701209937695,0.06129969252392507,0.319740352004063,0.33050988961022454,1.14913333841837
440.4689026,0.46969357019047925,0.13974358550737637,0.061236539308509995,0.31959460259186734,0.3307575652713006,1.1493361755155143
440.5827942,0.4697925417980098,0.13962089349131462,0.06117588416157402,0.3194516158294027,0.33099492318391793,1.1495140609354573
440.6966553,0.4698898344716831,0.13950196231559733,0.06111766083119684,0.3193113323188008,0.3312222229447552,1.1496676101298928
440.8105469,0.4699854819855219,0.13938669770305934,0.0610618051100066,0.319173694217481,0.33143971697149127,1.1497974283286023
440.924408,0.4700795237397814,0.13927500001698911,0.06100825473885966,0.3190386451823318,0.3316476508248756,1.149904110828636
441.0382996,0.470171993340917,0.13916678215141165,0.06095694931539482,0.3189061303161994,0.3318462635155384,1.1499882432739947
441.1521912,0.4702629243216571,0.1390619539751824,0.06090783020711373,0.3187760961165683,0.33203578779637927,1.1500504019261544
441.2660828,0.47035233678790545,0.13896044175487207,0.06086084046881521,0.3186484904263361,0.332216450441321,1.150091153925768
441.3800049,0.4704402742756016,0.13886214979117892,0.06081592476402922,0.31852326238657847,0.3323884725111651,1.150111057545861
441.4938965,0.47052771371984076,0.13876563651046725,0.06077302929136026,0.31840036239121533,0.3325520696072384,1.15011066243683
441.6078186,0.470612723527164,0.13867363881661407,0.060732101709243314,0.3182797420434899,0.33270745211347613,1.1500905098635332
441.7217102,0.47069635488220735,0.1385846135284829,0.06069309107468458,0.3181613541141743,0.3328548254275481,1.1500511329347518
441.8356323,0.47077862513947494,0.1384985013994633,0.06065594777430519,0.3180451525014272,0.332994390181596,1.1499930568252956
441.9495544,0.4708595507415963,0.13841524247473672,0.06062062346413946,0.31793109219222576,0.3331263424531129,1.1499167989910053
442.0635071,0.4709391774630248,0.1383347454640136,0.060587071011141774,0.31781912922530253,0.3332508739664674,1.149822869376904
442.1774292,0.47101751637389544,0.13825695729187407,0.06055524443724234,0.3177092206555192,0.33336817228554044,1.1497117706187276
442.2913818,0.47109460027066175,0.13818180687645185,0.0605250988662039,0.31760132451961487,0.3334784209979161,1.1495839982380696
442.405304,0.47117045408579594,0.13810922447808244,0.060496590472800565,0.31749539980326685,0.3335817998910397,1.1494400408313512
442.5192566,0.4712451006449776,0.13803915082591556,0.060469676434309075,0.3173914064094085,0.3336784851207349,1.149280380252832
