wavelength_nm,R30,R45,R60
4.441149902000000225e+02,3.161177751999154628e-01,3.344205099825879879e-01,1.145651512049331133e+00
4.442290039000000093e+02,3.160384794742830405e-01,3.344358988916795727e-01,1.145310039631298515e+00
4.443430175999999960e+02,3.159605765331646721e-01,3.344470315373133662e-01,1.144959785835045984e+00
4.444570618000000195e+02,3.158840380164018580e-01,3.344540421957462595e-01,1.144601140984013554e+00
4.445710753999999838e+02,3.158088360748522727e-01,3.344570635674687376e-01,1.144234491129528131e+00
4.446851196000000073e+02,3.157349433547514406e-01,3.344562268505819058e-01,1.143860218151110830e+00
4.447991637999999739e+02,3.156623329826276914e-01,3.344516618109084072e-01,1.143478699853661906e+00
4.449132079999999974e+02,3.155909785507479137e-01,3.344434968489454763e-01,1.143090310061610992e+00
4.450272522000000208e+02,3.155208541030772307e-01,3.344318590637646027e-01,1.142695418710123700e+00
4.451412963999999874e+02,3.154519341217317807e-01,3.344168743139583344e-01,1.142294391933455833e+00
4.452553406000000109e+02,3.153841935139082286e-01,3.343986672757238154e-01,1.141887592150530484e+00
4.453694153000000142e+02,3.153176075992722982e-01,3.343773614981754294e-01,1.141475378147823072e+00
4.454834900000000175e+02,3.152521520977914493e-01,3.343530794559645969e-01,1.141058105159632463e+00
4.455975341999999841e+02,3.151878031179933259e-01,3.343259425992893275e-01,1.140636124945810126e+00
4.457116088999999874e+02,3.151245371456393718e-01,3.342960714013640811e-01,1.140209785867020820e+00
4.458257141000000274e+02,3.150623310327949067e-01,3.342635854034237686e-01,1.139779432957603644e+00
4.459397887999999739e+02,3.150011619872857271e-01,3.342286032573221766e-01,1.139345407996105619e+00
4.460538634999999772e+02,3.149410075625267424e-01,3.341912427657950935e-01,1.138908049573542192e+00
4.461679687999999828e+02,3.148818456477094352e-01,3.341516209204403176e-01,1.138467693159459282e+00
4.462820740000000228e+02,3.148236544583382646e-01,3.341098539374749432e-01,1.138024671165849711e+00
4.463961487000000261e+02,3.147664125271027458e-01,3.340660572913218274e-01,1.137579313008986626e+00
4.465102539000000093e+02,3.147100986950751578e-01,3.340203457460754755e-01,1.137131945169226555e+00
4.466243895999999722e+02,3.146546921032235544e-01,3.339728333848966391e-01,1.136682891248843807e+00
4.467384948999999779e+02,3.146001721842298648e-01,3.339236336373783698e-01,1.136232472027939311e+00
4.468526001000000178e+02,3.145465186546028691e-01,3.338728593049317128e-01,1.135781005518484488e+00
4.469667357999999808e+02,3.144937115070779998e-01,3.338206225842277330e-01,1.135328807016547259e+00
4.470808716000000231e+02,3.144417310032934787e-01,3.337670350887380066e-01,1.134876189152741466e+00
4.471950072999999861e+02,3.143905576667371249e-01,3.337122078684122140e-01,1.134423461940957001e+00
4.473091430999999716e+02,3.143401722759511241e-01,3.336562514275259739e-01,1.133970932825407729e+00
4.474232787999999914e+02,3.142905558579923153e-01,3.335992757407378329e-01,1.133518906726042497e+00
4.475374145999999769e+02,3.142416896821356165e-01,3.335413902673866615e-01,1.133067686082366965e+00
4.476515807999999765e+02,3.141935552538168697e-01,3.334827039640618218e-01,1.132617570895704029e+00
4.477657166000000188e+02,3.141461343088054470e-01,3.334233252954793003e-01,1.132168858769949882e+00
4.478798828000000185e+02,3.140994088076025648e-01,3.333633622436927291e-01,1.131721844950849931e+00
4.479940490999999838e+02,3.140533609300559803e-01,3.333029223156699361e-01,1.131276822363838086e+00
4.481082152999999835e+02,3.140079730701872407e-01,3.332421125492643910e-01,1.130834081650474054e+00
4.482223816000000056e+02,3.139632278312243230e-01,3.331810395176090789e-01,1.130393911203516399e+00
4.483365784000000076e+02,3.139191080208335038e-01,3.331198093319613918e-01,1.129956597200661772e+00
4.484507446000000073e+02,3.138755966465462399e-01,3.330585276430271247e-01,1.129522423636983186e+00
4.485649414000000093e+02,3.138326769113740644e-01,3.329972996407908892e-01,1.129091672356103970e+00
4.486791382000000112e+02,3.137903322096078917e-01,3.329362300528785901e-01,1.128664623080134488e+00
4.487933350000000132e+02,3.137485461227945693e-01,3.328754231414810527e-01,1.128241553438401379e+00
4.489075316999999927e+02,3.134137960887770635e-01,3.324160168439398433e-01,1.127123306074239384e+00
4.490217284999999947e+02,3.133551821382863922e-01,3.322774209910561716e-01,1.127958491818532805e+00
4.491359252999999967e+02,3.131399868480975734e-01,3.325655446496664225e-01,1.127887199552704889e+00
4.492501525999999785e+02,3.128338246039616410e-01,3.320995077627157399e-01,1.127160841525989499e+00
4.493643493999999805e+02,3.130838166007713363e-01,3.323498585709118713e-01,1.125896453247669848e+00
4.494785767000000192e+02,3.129646220195984596e-01,3.322508309299707085e-01,1.125645675661221423e+00
4.495928040000000010e+02,3.127747349059029069e-01,3.326177014539687948e-01,1.124931181218988385e+00
4.497070312999999828e+02,3.126444673234957117e-01,3.330682106405735698e-01,1.125492362764991983e+00
4.498212891000000013e+02,3.120346997436176384e-01,3.328250017218364887e-01,1.127409178377310806e+00
4.499355163999999832e+02,3.119240747530112601e-01,3.329574821590454148e-01,1.129324319616882955e+00
4.500497437000000218e+02,3.118435506984465477e-01,3.334506689044665073e-01,1.128615200140318686e+00
4.501640014999999835e+02,3.118068450098309685e-01,3.330166099204759367e-01,1.127988971509033211e+00
4.502782593000000020e+02,3.116275127081309937e-01,3.329784251953895602e-01,1.126882603250603632e+00
4.503925171000000205e+02,3.112846918857735123e-01,3.329084766109838833e-01,1.126343333021438520e+00
4.505067748999999822e+02,3.114537771969494995e-01,3.328029267426813043e-01,1.125679893902622686e+00
4.506210327000000007e+02,3.114290809410692473e-01,3.326305556885765236e-01,1.123729763547869798e+00
4.507353209999999990e+02,3.112867002184417919e-01,3.321827555840285995e-01,1.123399119687100045e+00
4.508495788999999832e+02,3.114233692371253803e-01,3.320486956670230527e-01,1.124097834067067980e+00
4.509638671999999815e+02,3.116533178631009648e-01,3.316508173247815217e-01,1.123888080789367416e+00
4.510781554999999798e+02,3.120513163245260402e-01,3.322756358043692515e-01,1.123524518100490921e+00
4.511924437999999782e+02,3.124610531546835324e-01,3.324362697276549428e-01,1.122808824270384420e+00
4.513067321999999990e+02,3.123474260620879850e-01,3.325307522794183623e-01,1.121865949415130626e+00
4.514210204999999974e+02,3.124688821104244507e-01,3.331163521789327620e-01,1.121018869748040991e+00
4.515353393999999980e+02,3.128228723652465848e-01,3.331603820397288085e-01,1.120969710869175406e+00
4.516496276999999964e+02,3.129115347920965462e-01,3.333546158991477770e-01,1.119996821806030329e+00
4.517639464999999745e+02,3.129218062499046771e-01,3.332098675664892373e-01,1.120375482747947959e+00
4.518782653999999752e+02,3.128980567183326511e-01,3.332178216669697268e-01,1.120150783618890866e+00
4.519925842000000102e+02,3.131202718895180759e-01,3.326806780030739374e-01,1.120164373892287513e+00
4.521069031000000109e+02,3.131304297074712362e-01,3.323603040892930682e-01,1.118827010426482360e+00
4.522212218999999891e+02,3.128813699771015311e-01,3.323448924272581761e-01,1.116725168399765655e+00
4.523355713000000264e+02,3.127110245030124691e-01,3.324840661931076080e-01,1.117026631658716074e+00
4.524498901000000046e+02,3.129291861788174867e-01,3.323304962660280082e-01,1.117188799493211038e+00
4.525642394999999851e+02,3.127808529197529941e-01,3.326427705323558026e-01,1.116331972973843900e+00
4.526785889000000225e+02,3.128429416900433968e-01,3.329799871167030134e-01,1.114227677780396109e+00
4.527929381999999805e+02,3.134119967409503826e-01,3.331058603120511385e-01,1.114843743782556906e+00
