wavelength_nm,R30,R45,R60
4.465102539000000093e+02,3.106424117764022275e-01,3.440534071236546199e-01,1.033862947118696196e+00
4.466243895999999722e+02,3.309387426182937020e-01,3.033322964039323888e-01,1.080232375980440640e+00
4.467384948999999779e+02,2.901967423235600751e-01,3.343539731226922163e-01,1.152930406060370006e+00
4.468526001000000178e+02,3.029993037773756059e-01,3.483847921103357392e-01,1.021327617755456441e+00
4.469667357999999808e+02,3.260294160461625901e-01,3.332162848853144066e-01,1.162403886508903250e+00
4.470808716000000231e+02,3.200095154370781181e-01,3.537966178760603708e-01,1.101026747734800360e+00
4.471950072999999861e+02,3.307188878298094603e-01,3.144467419165411504e-01,1.087310269174590616e+00
4.473091430999999716e+02,2.873088120551124947e-01,3.009001733693081326e-01,1.104885892585663720e+00
4.474232787999999914e+02,2.905302017465152820e-01,3.462965087651154739e-01,1.089345160056844897e+00
4.475374145999999769e+02,3.025508271997613963e-01,3.398106351156967575e-01,1.178017399314125635e+00
4.476515807999999765e+02,3.136067934298562565e-01,3.589786843424999652e-01,1.117417351539051973e+00
4.477657166000000188e+02,3.075641704709267676e-01,3.501256449035715645e-01,1.186606146786914229e+00
4.478798828000000185e+02,3.425139842575392057e-01,3.241081711854727487e-01,1.287998288428410909e+00
4.479940490999999838e+02,3.080176288910855820e-01,2.958656788391230696e-01,1.132385759414154203e+00
4.481082152999999835e+02,3.154112131115587303e-01,3.350714222251418573e-01,1.263336563724893002e+00
4.482223816000000056e+02,3.069116770848296372e-01,3.116636545033306116e-01,1.220633766302346102e+00
4.483365784000000076e+02,3.364952514494022329e-01,3.074418508597796529e-01,1.178816037106966474e+00
4.484507446000000073e+02,3.181246063450329786e-01,3.288904660728496632e-01,1.288295636356316720e+00
4.485649414000000093e+02,2.799211171888117411e-01,3.826916374622982286e-01,1.071606388221030270e+00
4.486791382000000112e+02,3.126069697368045741e-01,3.431239033515160464e-01,1.199435599658212226e+00
4.487933350000000132e+02,3.252708108035218815e-01,3.269303563643254362e-01,1.224259364416624640e+00
4.489075316999999927e+02,2.807164475302880158e-01,3.425832817721397028e-01,1.024245153703929434e+00
4.490217284999999947e+02,3.357313099291898695e-01,3.219074915130565318e-01,1.054761661321362620e+00
4.491359252999999967e+02,3.174664899417813935e-01,3.202349533388618164e-01,1.160766419928135562e+00
4.492501525999999785e+02,3.063383031763634579e-01,3.455517970983122966e-01,1.026114881485300723e+00
4.493643493999999805e+02,2.948259568809654119e-01,3.080948071333027283e-01,1.025211610471103540e+00
4.494785767000000192e+02,3.495969878003550302e-01,3.406619998278838657e-01,1.042545728749932676e+00
4.495928040000000010e+02,3.232744126580409660e-01,3.388965898005317778e-01,1.339919933450813394e+00
4.497070312999999828e+02,2.947541136009061424e-01,3.727195516267663433e-01,1.168083849645751959e+00
4.498212891000000013e+02,3.274684937049818778e-01,3.475561681728190355e-01,1.158030973078423953e+00
4.499355163999999832e+02,3.180447708941721019e-01,3.469643288967979022e-01,1.174060303745037448e+00
4.500497437000000218e+02,3.255873724108694356e-01,3.276997476483281546e-01,1.141017547520264852e+00
4.501640014999999835e+02,3.255208432187696732e-01,3.504892196312492381e-01,1.152766955385736258e+00
4.502782593000000020e+02,3.314879944421403324e-01,3.360968382161609314e-01,1.072660543403989530e+00
4.503925171000000205e+02,3.259389888429268245e-01,3.442107969622851815e-01,1.146786884870865331e+00
4.505067748999999822e+02,3.118974401288040488e-01,3.687602437122828314e-01,1.166716541094383386e+00
4.506210327000000007e+02,3.122062377569900793e-01,3.234491760037878083e-01,1.003046971539151899e+00
4.507353209999999990e+02,3.108781789901866599e-01,3.426086581307623002e-01,9.920084563965615443e-01
4.508495788999999832e+02,2.896109168456061367e-01,3.301797358044771813e-01,1.069562108744938733e+00
4.509638671999999815e+02,2.905830314753069521e-01,3.348037016712930858e-01,9.614375513069084445e-01
4.510781554999999798e+02,3.079911420682154843e-01,3.296066979744855518e-01,1.062887708359224082e+00
4.511924437999999782e+02,3.194344950958702967e-01,3.158749186834488576e-01,1.026114553432527998e+00
4.513067321999999990e+02,3.165613745720609051e-01,3.157136988277460254e-01,1.166850330312789730e+00
4.514210204999999974e+02,3.068678770350000695e-01,3.343607489176098624e-01,1.083987044302932246e+00
4.515353393999999980e+02,3.236716796125081452e-01,3.333763480655210776e-01,1.152667490040564457e+00
4.516496276999999964e+02,3.137783817451220147e-01,3.361113039626150156e-01,1.078697199191683165e+00
4.517639464999999745e+02,3.171286806318100449e-01,3.448583923077194191e-01,1.166421002458102540e+00
4.518782653999999752e+02,3.142170336799423036e-01,3.510792723415428473e-01,1.005073198802272305e+00
4.519925842000000102e+02,2.897401470239999721e-01,3.275637117698097511e-01,1.182576175714500799e+00
4.521069031000000109e+02,3.113594527549683466e-01,3.393952697869802027e-01,1.112807028172389412e+00
4.522212218999999891e+02,3.071204506342288809e-01,3.077204548929363126e-01,1.056325043410073716e+00
4.523355713000000264e+02,3.481178629504778632e-01,3.205590043429601965e-01,1.167545637700592387e+00
4.524498901000000046e+02,3.185989230831433039e-01,3.240160553424564216e-01,1.243180384786319204e+00
4.525642394999999851e+02,3.161730381141253932e-01,3.258931832045163790e-01,1.090353024146825778e+00
4.526785889000000225e+02,3.369098594481495512e-01,3.427236577736829659e-01,1.181479410834250787e+00
4.527929381999999805e+02,3.190775775133496972e-01,3.369741914232120550e-01,1.076961543805599941e+00
4.529072876000000178e+02,3.013019432697150446e-01,3.221324710390189305e-01,1.069523240476890180e+00
4.530216369999999984e+02,2.992820221981359885e-01,3.129691511787812130e-01,1.216813618500955263e+00
4.531360167999999931e+02,3.136394225333181129e-01,3.290715171749074575e-01,1.010019343016838489e+00
