wavelength_nm,n,k,cost,R30,R45,R60
440.2411804,0.48198826648258536,0.1333595798502094,0.061205240828895405,0.3037738376524599,0.3270349307932637,1.2396363965815227
440.3550415,0.46432054264503136,0.14429912002645823,0.06268073769920346,0.32689209196333624,0.32609629372479093,1.2705473603192927
440.4689026,0.4609661814500219,0.13725759608845442,0.055500306999608486,0.33065716613324264,0.3596905186071535,1.120884632281224
440.5827942,0.4901452011578198,0.13946863032820697,0.07119278487224924,0.299032859624947,0.28269830349293434,1.2193995792233343
440.6966553,0.4569944946262594,0.13557798271365565,0.05267128089505515,0.33643084805902246,0.3745303640087913,1.1237819624306071
440.8105469,0.46360705749595665,0.1385351775033116,0.057596710409148114,0.3271184566390998,0.3490828491824394,1.175498764238108
440.924408,0.46443853541048,0.14427703348059823,0.06271603959056574,0.32674634271996106,0.32590630210174054,1.0963075255909562
441.0382996,0.48706316720519943,0.11962794620306319,0.051306114608775266,0.29393191500445526,0.3719349334014417,1.203057573513621
441.1521912,0.49956993868304467,0.1263007475194393,0.06291118939344925,0.2835327119067821,0.3140493998699408,1.406041726371848
441.2660828,0.4645116887819753,0.1380217135423461,0.05755634255797951,0.325889069536366,0.34898984403308847,1.1369252709303252
441.3800049,0.4529773233387665,0.14834200583169116,0.06092981322283307,0.34153349160253155,0.33726028625133503,1.0548780318781124
441.4938965,0.47647813333291866,0.14744166794492047,0.07154934784555911,0.3148437810194148,0.2855377698665131,1.1684879953719916
441.6078186,0.48156315165165686,0.12895023205075007,0.05709730131550812,0.3029361805920901,0.3457783268017378,1.079458399570616
441.7217102,0.49180814593900163,0.12639561301467714,0.059305581802834656,0.29069433635040104,0.3324173316619923,1.0815995346876988
441.8356323,0.45504638217932175,0.15163102495765354,0.06452526147281473,0.33919492740927853,0.3210148094239601,1.1421992214661745
441.9495544,0.4604164801489336,0.14952523649390503,0.0652905975015548,0.332454350927824,0.31611980809333046,1.020924181786653
442.0635071,0.49917907591815014,0.13193379067531752,0.06843777471702381,0.2875201307795458,0.2909911726280258,1.1735805130920662
442.1774292,0.47412530920350293,0.13048886725264716,0.05531698620097987,0.31253464139384185,0.3564829103607875,1.176592360857782
